"","h","l","ncd1","ncd2","qcd1","qcd2"
"1",1,16,0,3,1,1
"2",1,17,0,4,1,1
"3",1,18,0,12,1,1
"4",1,19,0,16,1,1
"5",1,20,2,31,1,1
"6",1,21,0,30,1,1
"7",1,22,5,39,1,1
"8",1,23,1,35,1,1
"9",1,24,2,39,1,1
"10",1,25,4,45,1,1
"11",1,26,2,37,1,1
"12",1,27,1,53,1,1
"13",1,28,0,40,1,1
"14",1,29,0,30,1,1
"15",1,30,1,28,1,1
"16",1,31,4,21,1,1
"17",1,32,5,32,1,1
"18",1,33,4,29,1,1
"19",1,34,8,31,1,1
"20",1,35,6,16,1,1
"21",1,36,7,20,1,1
"22",1,37,7,31,1,1
"23",1,38,6,17,1,1
"24",1,39,5,9,1,1
"25",1,40,1,12,1,1
"26",1,41,4,3,1,1
"27",1,42,4,4,1,1
"28",1,43,3,3,1,1
"29",1,44,2,5,1,1
"30",1,45,0,1,1,1
"31",1,46,1,2,1,1
"32",1,47,4,4,1,1
"33",1,48,1,1,1,1
"34",1,49,1,2,1,1
"35",1,50,1,1,1,1
"36",1,51,1,0,1,1
"37",1,53,1,1,1,1
"38",1,54,1,0,1,1
"39",1,55,1,0,1,1
